PreparationMethod,RandomForestClassifier,GaussianNB,KNeighborsClassifier,XGBClassifier,CatBoostClassifier
simple_encoding,0.4109774652935338,0.2332247279541728,0.2332247279541728,0.3626222977387444,
PCA,0.3627286641937096,0.2961751479930183,0.2976757553273007,0.3626222977387444,
random_projection,0.5001496082525225,0.3499473471871541,0.5178506045682544,0.5024595583600554,0.5090913798932817
