PreparationMethod,RandomForestClassifier,GaussianNB,KNeighborsClassifier,XGBClassifier,CatBoostClassifier
simple_encoding,0.6048442566571681,0.5380760538469097,0.5380760538469097,0.4750417608332514,
PCA,0.6292129311191903,0.5923651370737939,0.542939962660902,0.6304903213127641,0.6319151026825194
random_projection,0.5424486587402968,0.5378795322786676,0.5237791097572959,0.5362582293406701,0.5435295273656284
